epoch (ms),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,participant,label,category,set,duration
2019-01-11 15:08:11.400,-0.211,0.971,-0.241,-21.118,-6.87,18.43466666666667,B,bench,heavy,64,16.0
2019-01-11 15:08:11.550,-0.1689999999999999,0.982,-0.152,-44.8015,-8.186,20.442,B,bench,heavy,64,16.0
2019-01-11 15:08:11.700,-0.0825,0.8515,-0.01,-24.2685,-7.7895,27.02725,B,bench,heavy,64,16.0
2019-01-11 15:08:11.850,-0.0104999999999999,0.6180000000000001,-0.0525,19.32925,-6.85975,-7.56075,B,bench,heavy,64,16.0
2019-01-11 15:08:12.000,-0.071,1.1445,0.02,0.1020000000000003,4.309,-5.528333333333333,B,bench,heavy,64,16.0
2019-01-11 15:08:12.150,-0.067,0.939,-0.0425,3.26225,-1.82925,6.1585,B,bench,heavy,64,16.0
2019-01-11 15:08:12.300,-0.054,0.9725,-0.0195,3.384,-1.1585,1.006,B,bench,heavy,64,16.0
2019-01-11 15:08:12.450,-0.039,0.965,-0.032,2.31725,0.57925,5.7315,B,bench,heavy,64,16.0
2019-01-11 15:08:12.600,-0.045,0.967,-0.053,1.5039999999999998,-1.2806666666666668,-0.5486666666666663,B,bench,heavy,64,16.0
2019-01-11 15:08:12.750,-0.035,0.9775,-0.0465,2.2715,-3.9025,-0.4267500000000001,B,bench,heavy,64,16.0
2019-01-11 15:08:12.900,-0.043,0.984,-0.0485,-0.2894999999999998,-0.686,0.7925,B,bench,heavy,64,16.0
2019-01-11 15:08:13.050,-0.051,0.9675,-0.048,2.241,-3.62825,-2.10375,B,bench,heavy,64,16.0
2019-01-11 15:08:13.200,-0.0569999999999999,0.9515,-0.046,3.2723333333333335,-2.236,-3.557,B,bench,heavy,64,16.0
2019-01-11 15:08:13.350,-0.068,0.979,-0.0475,-1.98175,-0.2132499999999997,0.9452499999999998,B,bench,heavy,64,16.0
2019-01-11 15:08:13.500,-0.05,0.7275,-0.102,26.09775,12.2255,-23.97875,B,bench,heavy,64,16.0
2019-01-11 15:08:13.650,-0.1185,0.8395,-0.155,25.12175,13.8565,-31.2045,B,bench,heavy,64,16.0
2019-01-11 15:08:13.800,-0.176,0.921,-0.211,32.39833333333333,-8.435,-4.288666666666667,B,bench,heavy,64,16.0
2019-01-11 15:08:13.950,-0.2365,0.886,-0.1955,-5.28975,-2.27125,-1.6005000000000005,B,bench,heavy,64,16.0
2019-01-11 15:08:14.100,-0.246,0.9295,-0.2125,-43.78025,-10.305,15.549,B,bench,heavy,64,16.0
2019-01-11 15:08:14.250,-0.269,1.2325,-0.1185,-22.19525,-9.6035,5.3505,B,bench,heavy,64,16.0
2019-01-11 15:08:14.400,-0.295,1.3915,-0.064,29.228,4.512333333333333,-17.764,B,bench,heavy,64,16.0
2019-01-11 15:08:14.550,-0.1694999999999999,0.794,-0.089,32.82,-8.1555,-2.95725,B,bench,heavy,64,16.0
2019-01-11 15:08:14.700,-0.18,0.901,-0.19,13.56725,-3.719500000000001,0.32025,B,bench,heavy,64,16.0
2019-01-11 15:08:14.850,-0.213,0.9465,-0.2455,3.35375,-2.439,-8.0945,B,bench,heavy,64,16.0
2019-01-11 15:08:15.000,-0.234,0.943,-0.245,8.943,-0.0003333333333325,-2.2969999999999997,B,bench,heavy,64,16.0
2019-01-11 15:08:15.150,-0.2845,0.9335,-0.2265,1.49375,-3.32325,9.7255,B,bench,heavy,64,16.0
2019-01-11 15:08:15.300,-0.265,0.958,-0.246,-11.067,-6.6005,19.54275,B,bench,heavy,64,16.0
2019-01-11 15:08:15.450,-0.1985,0.995,-0.22,-32.1495,-2.25625,28.76525,B,bench,heavy,64,16.0
2019-01-11 15:08:15.600,-0.1144999999999999,0.929,-0.079,-52.60166666666667,-2.012333333333333,29.207333333333334,B,bench,heavy,64,16.0
2019-01-11 15:08:15.750,-0.0165,0.5565,-0.111,5.57925,-6.250249999999999,7.4545,B,bench,heavy,64,16.0
